Chipenrich_Colorectal_Cancer	Chipenrich_Alzheimer's_Disease	Chipenrich_Gastric_Cancer	Chipenrich_Prostate_Cancer	Chipenrich_Surrogate_Median_Sensitivity	Broadenrich_Colorectal_Cancer	Broadenrich_Alzheimer's_Disease	Broadenrich_Gastric_Cancer	Broadenrich_Prostate_Cancer	Broadenrich_Surrogate_Median_Sensitivity	Seq2pathway_Colorectal_Cancer	Seq2pathway_Alzheimer's_Disease	Seq2pathway_Gastric_Cancer	Seq2pathway_Prostate_Cancer	Seq2pathway_Surrogate_Median_Sensitivity	Enrichr_Colorectal_Cancer	Enrichr_Alzheimer's_Disease	Enrichr_Gastric_Cancer	Enrichr_Prostate_Cancer	Enrichr_Surrogate_Median_Sensitivity
0.001303036	0.000160289	0.001303036	0.000894561	0.001098798	0.000302967	0.004207344	2.99E-07	0.000302967	0.000302967	1	1	1	1	1	0.009170549	0.03000122	0.009170549	0.009170549	0.009170549
0.007117341	3.46E-05	0.000803895	0.01168404	0.003960618	0.000232298	0.01255426	4.94E-08	0.003205772	0.001719035	0.5062287	1	1	1	1	0.007208225	0.008342516	0.007208225	0.007208225	0.007208225
0.000686455	1.32E-05	0.000686455	0.000686455	0.000686455	0.000250039	0.001568703	5.83E-07	0.001568703	0.000909371	1	1	1	1	1	0.009170549	0.09230373	0.009170549	0.009170549	0.009170549
2.83E-05	0.00044246	2.83E-05	2.83E-05	2.82601E-05	9.18E-06	0.07969317	5.95E-07	0.004427564	0.002218373	1	1	1	1	1	0.02146069	0.1529425	0.02146069	0.02146069	0.02146069
0.000593528	0.000880316	0.000593528	0.000593528	0.000593528	0.000131681	0.000131681	0.006770194	0.000131681	0.000131681	0.4236713	1	1	1	1					
0.00059623	0.000100106	0.00059623	0.00059623	0.00059623	0.000226891	0.09189617	0.000418094	5.65E-05	0.000322492	0.5147932	1	1	1	1	0.007208225	0.01046916	0.007208225	0.007208225	0.007208225
0.000690048	7.97E-05	0.003323307	0.001512662	0.001101355	0.000517857	0.02607093	2.48E-05	0.000693478	0.000605668	0.3903167	1	1	1	1	0.01046916	0.01046916	0.05633472	0.01046916	0.01046916
0.000950449	0.000306631	0.01405424	0.000950449	0.000950449	0.0001877	0.005025417	9.30E-06	0.0001877	0.0001877	1	1	1	1	1	0.02328824	0.02328824	0.1302832	0.02328824	0.02328824
8.55E-06	1.22E-06	8.55E-06	0.01004928	8.55034E-06	4.56E-06	0.000639817	4.56E-06	1.81E-05	1.13341E-05	0.4843276	1	0.5917714	0.3618207	0.5380495	0.01177318	0.1176062	0.01177318	0.2621647	0.06468969
0.04595868	0.01258974	0.1152027	0.003045807	0.02927421	3.63E-05	0.002420355	0.001956747	6.29E-05	0.001009821	1	0.3654829		1	1	0.4165642	0.2903292	0.4165642	0.176151	0.3534467
0.000275512	0.000116733	0.000275512	0.000275512	0.000275512	6.27E-05	0.002085921	1.85E-10	6.27E-05	6.27242E-05	1	1	1	1	1	0.2431267	0.1529425	0.2431267	0.5596782	0.2431267
0.000739149	0.000103652	0.000739149	0.000739149	0.000739149	0.006481056	0.002425104	2.73E-10	0.006481056	0.00445308	1	1	1	1	1	0.2615524	0.3698103	0.4551901	0.4551901	0.4125002
0.001935187	0.003564601	0.001935187	0.001935187	0.001935187	8.40E-06	0.002859523	6.41E-12	8.40E-06	8.39813E-06	1	1	1	1	1	0.01584688	0.03000122	0.7977821	0.3296946	0.17984791
0.01265169	0.000315797	0.01265169	0.01265169	0.01265169	0.004667479	0.009097908	3.12E-09	0.04702861	0.006882694	1	1	1	1	1	0.01584688	0.5124418	0.262227	0.262227	0.262227
0.000937842	0.000305654	0.000937842	0.000937842	0.000937842	2.39E-05	0.01613525	1.29E-13	2.39E-05	2.38903E-05	1	1	1	1	1	0.1267559	0.0425214	0.1267559	0.440893	0.1267559
