ID_REF,GSM313235,GSM313236,GSM313237,GSM313238,GSM313239,GSM313240,GSM313241,GSM313242,GSM313243,GSM313244,GSM313245,GSM313246,GSM313247,GSM313248,GSM313249,GSM313250,GSM313251,GSM313252,GSM313253,GSM313254,GSM313255,GSM313256,GSM313257,GSM313258,GSM313259,GSM313260,GSM313261,GSM313262
41227,12.1255,11.906,12.0155,11.903,12.489,11.9665,12.216,12.321,11.9935,12.1795,12.3665,12.572,11.4165,12.0635,11.893,11.939,12.024,11.964,12.0455,11.9185,12.6915,12.283,11.884,11.756,11.197,12.3075,12.2665,12.1505
41232,13.9035,13.7255,13.7865,14.0645,13.954,14.0195,14.283,14.022,14.0505,13.737,14.479,13.39,13.4525,13.521,13.5645,13.405,13.6465,13.7395,14.065,13.447,14.136,13.906,13.8625,13.872,14.089,13.761,13.776,13.713
41234,10.712,10.6275,10.7745,10.8905,10.6245,10.3091,10.937,10.7715,10.891,10.704,10.9,10.347,10.299,10.963,10.4405,10.772,10.12845,10.7185,10.544,10.8055,10.4445,11.0275,10.2747,10.9395,11.166,10.6115,10.7155,10.8015
41236,8.3891,8.2858,8.3264,8.21245,8.67925,7.7409,8.57355,8.50815,8.59275,7.8608,8.80905,8.0015,7.8377,8.3435,8.4097,8.16215,7.60425,7.8811,8.3872,7.74165,8.1969,8.57465,7.58985,8.32115,8.2757,8.2645,7.53245,8.4982
41239,12.54,12.685,12.616,12.0975,12.988,12.414,12.7145,12.71,12.4445,12.948,12.089,13.111,12.653,12.569,12.334,12.5505,12.1735,12.119,12.498,12.4485,12.9805,12.2675,12.9395,12.744,12.861,12.906,12.793,12.8125
41241,8.57055,8.68905,8.78805,8.3092,8.2194,7.9801,8.4949,8.4208,8.1672,8.48595,7.7644,8.96035,8.5368,8.75565,8.5878,8.99855,8.1301,8.13215,8.5456,8.37665,7.84095,8.3078,8.33925,8.5846,8.5264,8.6787,8.38615,8.6024
41242,10.238,9.8248,9.9847,10.7515,10.273,9.54785,9.90295,10.3805,10.378,9.65075,10.5875,10.5225,10.06145,9.81535,10.3305,10.17515,10.18065,10.1245,10.6435,9.40405,10.5245,10.4225,9.80835,10.1372,10.4035,10.04475,9.88135,10.209
41243,9.846,9.70125,9.82605,10.1315,9.6912,9.55385,9.77165,10.232,10.1615,9.78495,10.3185,9.7487,9.01495,10.1495,9.8211,9.70435,9.49025,9.94255,10.158,9.61555,10.18,10.24105,9.75825,10.0081,9.99235,9.96675,9.51315,9.7897
41245,8.1592,7.96915,7.48655,7.51695,8.0614,8.1583,8.3526,8.1302,7.88935,8.16245,8.06335,7.8653,8.39905,7.91,7.79015,7.73225,8.12575,8.02425,7.80915,7.7745,8.09135,7.9169,8.56845,7.79085,7.84875,8.3464,8.21545,7.72805
41255,11.5625,11.5745,11.517,11.59,11.6535,11.075,11.7475,12.9735,11.122,11.109,11.7965,12.6755,11.6265,11.5195,11.2795,12.3815,11.6315,11.1585,11.759,11.8485,11.859,11.9125,10.943,11.289,11.6235,11.55,11.566,11.5185
41258,8.99715,8.8912,8.196,8.09035,9.16755,8.19915,9.03535,9.26135,9.04065,8.3751,9.46515,8.8049,9.01385,8.8292,8.9944,8.97115,8.34505,8.65635,8.96465,8.22555,8.8024,8.8281,8.35795,8.8377,8.5739,8.8876,8.1766,8.3042
41264,7.6405,7.81495,7.8818,7.3203,7.36925,6.77705,7.4963,7.15585,7.35465,7.38245,7.23925,7.87295,7.6957,7.7938,7.77355,7.87985,8.2013,7.505,7.61995,7.18955,7.10045,6.93075,7.4719,7.06975,7.23055,7.89635,6.9157,7.5262
41268,8.1888,8.1439,7.9007,8.0024,8.0918,8.9208,8.56245,8.275,8.27295,8.2698,8.42555,7.94035,8.8338,7.94365,8.29125,8.2438,8.1499,8.3845,8.23975,8.5136,8.6419,8.4219,8.6626,8.11615,8.1164,8.457,8.9729,8.04105
41273,9.35345,9.31695,9.33965,9.3652,9.47285,8.12015,9.8075,9.771,9.4801,8.9026,9.47975,9.66405,9.4263,9.3034,9.3714,9.1898,8.86335,9.29385,9.46865,8.5517,9.23105,9.3891,8.34185,9.38625,9.2742,9.42975,8.28765,9.50925
